ip_region_mismatch,device_change_rate,application_frequency,loan_amount,institution,loan_type,session_duration,geo_location_consistency,previous_defaults,time_between_apps,browser_fingerprint_change,fraudulent
1,0.21495101917398807,1,599342,Kotak,Home,176.68302683494863,0,0,90839.50847271731,0.07755247094846587,0
0,0.09962399071495348,0,472347,Axis,Home,126.02541482197017,1,2,14470.861033998777,0.0779426651224325,0
0,0.2515921507671938,0,629537,ICICI,Education,388.03100980454997,1,1,43319.643225296044,0.3419012688050289,0
0,0.14915571781172365,1,804605,ICICI,Car,455.7709854814203,1,1,38336.34346916951,0.41273963560212446,0
0,0.37208066181750865,2,453169,SBI,Car,407.5376709568541,1,0,85770.83725722162,0.07833287997667862,0
0,0.12163122546787848,3,453172,Kotak,Home,351.90408737064377,1,0,5404.1626142028435,0.16986288179122266,0
0,0.144282321555557,2,815842,Kotak,Education,328.0600182270958,1,0,48037.36792503658,0.05558949827980164,0
1,0.041391557965688296,3,653486,Bajaj Finance,Car,267.75630447001623,0,0,56491.593230822415,0.011880202147279126,1
0,0.10523057443031696,3,406105,Bajaj Finance,Car,243.96533231095717,0,0,62684.598690431994,0.07003341756861602,0
0,0.19043469492535953,4,608512,Kotak,Car,276.0655647257442,1,0,30879.876035720255,0.1045403446602081,0
0,0.11310232627325544,2,407316,HDFC,Home,176.23140123212448,1,0,95502.47160583705,0.10848586342179597,0
0,0.4285086805293148,1,406854,Axis,Home,112.75385985396454,0,0,91892.25291202238,0.3323761386554772,0
0,0.09129601661450222,2,548392,HDFC,Education,222.08359186934695,1,0,47374.330417472316,0.06373566552320625,0
0,0.16293093499435252,2,117343,Axis,Personal,280.4970195299833,1,0,87246.71677419191,0.10933253160943376,0
0,0.1529151468646323,2,155016,SBI,Home,218.64139337247207,1,1,39581.846556759,0.19301999524642124,0
0,0.04499238082566322,1,387542,Axis,Personal,282.11208420803945,1,0,10633.339165906762,0.19687598009850382,0
0,0.11160417967659803,1,297433,Bajaj Finance,Car,319.37021720393,1,0,17883.37391637186,0.021657261240927147,0
0,0.3149684207192682,0,562849,SBI,Car,453.04865662444456,1,0,77729.07301619642,0.023356423808903053,1
0,0.26350902967414935,0,318395,Bajaj Finance,Education,279.961715970511,1,0,27165.592036565544,0.09469338363636483,1
0,0.25329061826384314,2,217539,Axis,Car,290.7299168453772,1,0,86109.8509057558,0.26636928890799555,0
1,0.06756071011553219,1,793129,Axis,Personal,201.2795760236096,1,0,90087.69900284805,0.26253489966503785,0
1,0.12965708633594428,7,454844,ICICI,Education,301.1959197860076,1,0,22463.382066376234,0.08655366848872621,1
0,0.16044615150552652,1,513505,SBI,Car,359.92336176612883,1,1,1795.0873288351936,0.16248249441299364,0
0,0.06599608393361354,1,215050,Axis,Personal,370.60476628179504,1,0,41038.2786803709,0.10943550139662009,0
0,0.35224878812687355,1,391123,HDFC,Personal,288.4997086556003,1,0,1786.8322475694704,0.10639664410956882,1
0,0.13922314787500173,2,522184,Kotak,Personal,274.52653413384377,0,0,25704.602315199543,0.2966883017737044,1
0,0.06453593582369978,4,269801,Bajaj Finance,Car,231.91909825122855,1,1,50606.899811619005,0.1104325519931338,0
0,0.2673804399002177,2,575139,Kotak,Education,308.300168138566,1,0,46014.8964098257,0.14339382861594357,0
1,0.1436553709035362,1,379872,HDFC,Education,401.5055927132579,1,1,63949.732210222246,0.023163232855311827,1
